simulazione-1 , -24496199#1_0 , 0.07 , 2.16
simulazione-1 , 100289763#2_0 , 12.13 , 7.99
simulazione-1 , 24235718#1_0 , 0.54 , 0.63
simulazione-2 , -24496199#1_0 , 0.49 , 17.65
simulazione-2 , 100289763#2_0 , 52.59 , 33.61
simulazione-2 , 24235718#1_0 , 2.83 , 5.16
simulazione-3 , -24496199#1_0 , 1.18 , 41.24
simulazione-3 , 100289763#2_0 , 86.37 , 53.97
simulazione-3 , 24235718#1_0 , 6.96 , 12.69
simulazione-4 , -24496199#1_0 , 1.92 , 74.54
simulazione-4 , 100289763#2_0 , 133.33 , 96.38
simulazione-4 , 24235718#1_0 , 10.92 , 21.07
simulazione-5 , -24496199#1_0 , 2.47 , 103.32
simulazione-5 , 100289763#2_0 , 133.33 , 87.46
simulazione-5 , 24235718#1_0 , 14.16 , 27.47
simulazione-6 , -24496199#1_0 , 3.84 , 173.97
simulazione-6 , 100289763#2_0 , 133.33 , 166.32
simulazione-6 , 24235718#1_0 , 21.18 , 42.48
simulazione-7 , -24496199#1_0 , 6.76 , 361.03
simulazione-7 , 100289763#2_0 , 133.33 , 196.39
simulazione-7 , 24235718#1_0 , 35.66 , 74.04
simulazione-8 , -24496199#1_0 , 13.83 , 1266.04
simulazione-8 , 100289763#2_0 , 133.33 , 284.46
simulazione-8 , 24235718#1_0 , 55.76 , 140.50
simulazione-9 , -24496199#1_0 , 41.11 , 6451.06
simulazione-9 , 100289763#2_0 , 133.33 , 363.19
simulazione-9 , 24235718#1_0 , 52.91 , 137.88
